Wall time,Step,Value
1675758998.3471675,0,1346.67822265625
1675758998.492536,1,966.477294921875
1675758998.691705,2,1346.24072265625
1675758998.8891492,3,1354.0289306640625
1675758999.0306673,4,993.594482421875
1675758999.2610695,5,1636.1048583984375
1675758999.419557,6,1054.1834716796875
1675758999.5724583,7,1058.6104736328125
1675758999.699178,8,866.5865478515625
1675758999.8484492,9,1035.8184814453125
1675758999.9944186,10,1011.4910278320312
1675759000.1684923,11,1250.57421875
1675759000.3957906,12,1551.20458984375
1675759000.5948696,13,1393.7021484375
1675759000.8566034,14,1731.674560546875
1675759001.1246543,15,1727.40234375
1675759001.3931968,16,1744.9178466796875
1675759001.5611043,17,1186.1951904296875
1675759001.7944615,18,1650.2147216796875
1675759002.0563447,19,1834.431884765625
1675759002.207017,20,1013.9476318359375
1675759002.34813,21,997.5170288085938
1675759002.505745,22,1067.991943359375
1675759002.6617017,23,1099.57421875
1675759002.8222542,24,1129.4693603515625
1675759003.013844,25,1352.7481689453125
1675759003.2090151,26,1375.7293701171875
1675759003.3660645,27,1013.080810546875
1675759003.627708,28,1791.7193603515625
1675759003.792543,29,1148.42724609375
1675759004.0544736,30,1726.96240234375
1675759004.277431,31,1572.4229736328125
1675759004.4410944,32,1105.740234375
1675759004.5781229,33,962.4810180664062
1675759004.8419209,34,1830.2591552734375
1675759005.038505,35,1359.2789306640625
1675759005.188838,36,1056.9586181640625
1675759005.3516834,37,1160.2110595703125
1675759005.5069456,38,1011.9846801757812
1675759005.6920748,39,1336.3314208984375
1675759005.821223,40,879.45166015625
1675759006.0285687,41,1443.641357421875
1675759006.2262013,42,1388.331787109375
1675759006.4056256,43,1241.2574462890625
1675759006.645163,44,1698.429931640625
1675759006.7765017,45,909.1250610351562
1675759006.987468,46,1539.3514404296875
1675759007.157531,47,1163.603759765625
1675759007.323792,48,1167.1563720703125
1675759007.5281177,49,1412.0428466796875
