Wall time,Step,Value
1675743708.4806368,0,859.634033203125
1675743708.6172378,1,782.2214965820312
1675743708.7593126,2,764.6130981445312
1675743708.9127152,3,770.6217651367188
1675743709.0473213,4,766.7266845703125
1675743709.1891472,5,822.6524047851562
1675743709.333409,6,794.73779296875
1675743709.4694564,7,762.740966796875
1675743709.6169264,8,864.716796875
1675743709.763742,9,792.2543334960938
1675743709.9034028,10,776.6448364257812
1675743710.0413225,11,776.8199462890625
1675743710.179553,12,775.9014282226562
1675743710.3203053,13,761.1232299804688
1675743710.4595487,14,770.0264892578125
1675743710.600194,15,797.4631958007812
1675743710.7473185,16,850.4736938476562
1675743710.894963,17,815.1329345703125
1675743711.0306594,18,764.6970825195312
1675743711.1736054,19,850.0527954101562
1675743711.3110507,20,763.8717041015625
1675743711.4589508,21,863.14404296875
1675743711.6165853,22,898.6318969726562
1675743711.7653518,23,773.0465087890625
1675743711.9034615,24,760.5703125
1675743712.048848,25,849.1731567382812
1675743712.186717,26,771.9593505859375
1675743712.3224835,27,757.1598510742188
1675743712.4712863,28,884.2396850585938
1675743712.60836,29,768.7173461914062
1675743712.7463017,30,786.1454467773438
1675743712.888655,31,761.7174682617188
1675743713.0257232,32,768.47802734375
1675743713.1609387,33,763.829345703125
1675743713.3006716,34,791.5888671875
1675743713.4477727,35,848.314697265625
1675743713.5916767,36,834.2178955078125
1675743713.7299132,37,762.7310180664062
1675743713.8751857,38,756.5585327148438
1675743714.0109394,39,760.4083251953125
1675743714.1529713,40,809.0884399414062
1675743714.2909465,41,775.1248168945312
1675743714.429674,42,775.5443725585938
1675743714.5682194,43,772.5718994140625
1675743714.7075493,44,783.2792358398438
1675743714.8507988,45,769.8635864257812
1675743714.9837754,46,759.272705078125
1675743715.1212425,47,795.4078979492188
1675743715.2649128,48,773.133544921875
1675743715.4003851,49,763.124267578125
